ID,ExistingCreditsCount,Job,Dependents,Telephone,ForeignWorker,Risk
1,1,skilled,1,none,yes,No Risk
2,2,skilled,1,none,yes,No Risk
3,2,skilled,1,yes,no,No Risk
4,1,skilled,1,none,yes,No Risk
5,2,skilled,1,none,yes,Risk
6,2,skilled,2,yes,yes,Risk
7,1,management_self-employed,1,none,yes,No Risk
8,2,skilled,1,none,yes,No Risk
9,1,management_self-employed,1,none,yes,No Risk
10,2,skilled,2,yes,yes,Risk
11,1,management_self-employed,1,none,yes,No Risk
12,1,skilled,1,none,yes,No Risk
13,1,skilled,1,yes,yes,No Risk
14,1,skilled,1,none,yes,No Risk
15,1,skilled,2,yes,yes,No Risk
16,1,skilled,1,none,yes,Risk
17,1,skilled,1,none,yes,No Risk
18,2,skilled,1,yes,yes,Risk
19,1,skilled,1,none,yes,No Risk
20,2,skilled,1,none,yes,No Risk
21,2,skilled,2,yes,yes,No Risk
22,2,management_self-employed,1,none,yes,No Risk
23,2,skilled,1,none,yes,No Risk
24,1,skilled,1,none,yes,No Risk
25,1,skilled,1,none,yes,No Risk
26,1,unskilled,1,none,yes,No Risk
27,1,skilled,1,none,yes,No Risk
28,1,skilled,1,none,yes,No Risk
29,1,skilled,2,yes,yes,No Risk
30,1,management_self-employed,1,yes,yes,Risk
31,1,skilled,1,none,yes,No Risk
32,2,unskilled,2,yes,yes,Risk
33,1,skilled,1,none,yes,Risk
34,1,skilled,1,yes,yes,No Risk
35,1,skilled,1,none,yes,No Risk
36,1,skilled,1,none,yes,No Risk
37,1,skilled,1,yes,yes,No Risk
38,1,skilled,2,yes,yes,Risk
39,2,skilled,1,none,yes,Risk
40,2,skilled,2,yes,yes,Risk
41,1,skilled,1,none,yes,Risk
42,1,skilled,1,none,yes,No Risk
43,1,skilled,1,none,yes,No Risk
44,2,skilled,1,yes,yes,Risk
45,1,skilled,1,none,yes,No Risk
46,2,skilled,1,none,yes,Risk
47,1,skilled,1,none,yes,No Risk
48,1,unskilled,1,yes,yes,No Risk
49,1,skilled,1,yes,yes,Risk
50,1,skilled,1,none,yes,No Risk
51,2,unskilled,2,yes,yes,Risk
52,2,skilled,1,yes,yes,No Risk
53,2,management_self-employed,2,none,yes,No Risk
54,2,management_self-employed,2,yes,yes,Risk
